Title (auto)	DMDb: Title	SoS: Title	SoS: Original Title	Wikipedia: Title	IMDb HoH: Title	IMDb Deaf Movies: Title	IMDb Deaf Characters: Title	HollywoodSpeaks: Title	Year (auto)	DMDb: Release Date	SoS: Year	Wikipedia: Year	IMDb HoH: Year	IMDb Deaf Movies: Year	IMDb Deaf Characters: Year	HollywoodSpeaks: Year	IMDb ID (auto)	DMDb: IMDb ID	SoS: IMDb ID	IMDb HoH: IMDb ID	IMDb HoH: IMDb URL	IMDb Deaf Movies: IMDb ID	IMDb Deaf Movies: IMDb URL	IMDb Deaf Characters: IMDb ID	IMDb Deaf Characters: IMDb URL	Wikidata ID (auto)	Wikipedia: Wikidata ID	Wikipedia: Article	Wikipedia: URL	Sources	IMDb URL (auto)	Wikipedia URL (auto)	Lookup Notes (auto)	Wikipedia: Description	IMDb HoH: Description	IMDb HoH: Notes	IMDb Deaf Movies: Description	IMDb Deaf Characters: Description	DMDb: Synopsis	SoS: Summary	HollywoodSpeaks: Synopsis	DMDb: Deaf Actor	DMDb: Deaf Director	DMDb: Deaf Writer	DMDb: Deaf Editor	HollywoodSpeaks: Deaf Characters	DMDb: Category	SoS: Tags	SoS: Format	DMDb: Genre	DMDb: Duration	HollywoodSpeaks: Length	DMDb: Language	SoS: Languages	DMDb: Country	SoS: Countries	DMDb: Sign Language %	SoS: Director/Creator	DMDb: Company	DMDb: Free To Watch	DMDb: URL	SoS: Platforms	HollywoodSpeaks: Studio/Producer	HollywoodSpeaks: Page	IMDb ID (manual)	Wikidata ID (manual)
Sargam		Sargam							1979		1979																			Sign on Screen										A deaf girl who dreams of being a classical dancer is trained by a musician								deaf musician/dancer; deaf-hearing relationship; music	Feature					Hindi		India		K. Viswanath								
Satan's Slaves		Satan's Slaves	Pengabdi Setan	Satan's Slaves					2017		2017	2017														Q41850450	Q41850450	Satan's Slaves	https://en.wikipedia.org/wiki/Satan%27s_Slaves	Sign on Screen; Wikipedia				An Indonesian horror film which features a deaf child who communicates through Indonesian Sign Language.						Satanic horror house film includes a deaf character whose use of Indonesian Sign Language (BISINDO) is a part of the narrative								deaf child; deaf victim/witness; hearing actor in deaf role; horror; survival narrative	Feature					Indonesian; Indonesian Sign Language (BISINDO)		Indonesia; South Korea		Joko Anwar								
Satan's Slaves 2		Satan's Slaves 2	Pengabdi Setan 2: Communion						2022		2022																			Sign on Screen										Sequel to the 2017 horror film in which a deaf boy is possessed								deaf child; deaf victim/witness; hearing actor in deaf role; horror; survival narrative	Feature					Indonesian; Indonesian Sign Language (BISINDO)		Indonesia		Joko Anwar								
Satan's Slaves 2: Communion				Satan's Slaves 2: Communion					2022			2022														Q110467827	Q110467827	Satan's Slaves 2: Communion	https://en.wikipedia.org/wiki/Satan%27s_Slaves_2:_Communion	Wikipedia				Indonesian horror sequel which also features a deaf child.																																
Savage Streets		Savage Streets							1984		1984																			Sign on Screen										Hearing girl seeks vengeance on the criminals who raped her deaf sister and murdered her best friend								deaf victim/witness; friendship; grief; hearing stalker/killer; revenge/vigilante; sibling relationship	Feature					English		US		Danny Steinmann and Tom DeSimone								
Saving Grace		Saving Grace							1986		1986																			Sign on Screen										Catholic comedy in which the main character communicates with a deaf child in sign language								comedy; deaf child; religion	Feature					English		US		Robert M. Young								
Say Cheese: Coca-Cola Refreshing Films					Say Cheese: Coca-Cola Refreshing Films				2022				2022				tt18334802			tt18334802	https://www.imdb.com/title/tt18334802/?ref_=ls_t_69									IMDb HoH					"A male college student invites a Deaf female classmate to see a movie. He mistakenly signs ""cheese."""																															
Scandalous Overtures		Scandalous Overtures							2014		2014																			Sign on Screen										"Season 1 episode 4 (""Ludwig Van Beethoven: Beethoven's Death Wish"") of this documentary series about scandalous moments in famous people's lives is about Beethoven (series duration 2014-)"								Beethoven; biopic; deaf musician/dancer; drama; music	Documentary					English		US										
The Scarring		The Scarring							2016		2016																			Sign on Screen										Short drama mystery co-written, co-directed by and co-starring deaf actor Eddie Buck								crime/mystery; deaf actor; deaf director; deaf writer/producer; drama	Short					American Sign Language (ASL); English		US		Eddie Buck; Kimby Caplan								
A Scene at the Sea	A Scene at the Sea	A Scene at the Sea	Ano natsu, ichiban shizukana umi				A Scene at the Sea		1991	September 1, 1991	1991				1991		tt0103704							tt0103704	https://www.imdb.com/title/tt0103704/?ref_=ls_t_47					DMDb; Sign on Screen; IMDb Deaf Characters								The lives of a young, hearing-impaired and gloomy couple are fulfilled after the boy holds interest in surfboarding.	The lives of a young, deaf and gloomy couple are fulfilled after the boy holds interest in surfboarding.	Contemplative silent film in which a young deaf couple find solace in surfing							Movies with No Deaf Actors | Leading Roles; Movies	isolation; romance	Feature	Comedy; Drama; Romance				Japanese		Japan		Takeshi Kitano			https://deafmovie.org/title/a-scene-at-the-sea/					
Screen Me		Screen Me							2024		2024																			Sign on Screen										Educational short encouraging people with disability and cervixes to get a cervical screening, made by and for people with disability								deaf actor	Short					Australian Sign Language (Auslan); English		Australia		Kate Vinen								
Screwballs		Screwballs							1983		1983																			Sign on Screen										Screwball high school comedy set in the 1960s, includes passages in sign language								comedy; school/university setting	Feature					American Sign Language (ASL); English		Canada		Rafal Zielinski								
Sealed with a Kiss		Sealed with a Kiss	Tim yin mat yue						1999		1999																			Sign on Screen										Hong Kong woman moves to countryside and falls in love with nonverbal hearing signing man								nonverbal; romance	Feature					Cantonese; Hong Kong Sign Language (HKSL)		Hong Kong		Derek Chiu								
Season of Love		Season of Love							2019		2019																			Sign on Screen										Romantic comedy about three lesbian couples at Christmas, one of the main characters is played by deaf actress Sandra Mae Frank								comedy; deaf actor; romance; romantic comedy; queer	Feature					American Sign Language (ASL); English		US		Christin Baker								
Season of Murders		Season of Murders	Kolaiyuthir Kaalam 						2019		2019						tt6280858		tt6280858											Sign on Screen										A remake of Hush (2016), a deaf and mute woman must fight for life when a killer appears at her door. 								horror 	Feature					Tamil		India 		Chakri Toleti								
The Seasoning House	The Seasoning House	The Seasoning House				The Seasoning House			2012	August 23, 2012	2012			2012			tt1555093					tt1555093	https://www.imdb.com/title/tt1555093/?ref_=ls_t_14							DMDb; Sign on Screen; IMDb Deaf Movies							Sold at a brothel deep in the woods to work as a caretaker, a hapless deaf girl must summon the courage to fight for her life.		Sold at a brothel deep in the woods to work as a caretaker, a hapless deaf girl must summon the courage to fight for her life.	Horror in which a young deaf woman is sold to an isolated sex trafficking brothel as a caretaker; builds a bond with a signing victim							Movies with No Deaf Actors | Leading Roles; Movies	deaf victim/witness; hearing stalker/killer; horror	Feature	Drama; Horror; Thriller	01 hours 30 minutes		English	English	USA	UK		Paul Hyett			https://deafmovie.org/title/the-seasoning-house/					
The Secret Life: Jeffrey Dahmer		The Secret Life: Jeffrey Dahmer							1993		1993																			Sign on Screen										Crime drama based on Jeffrey Dahmer's crimes, including a Tony Hughes character								crime/mystery; deaf victim/witness; drama; horror	Feature					American Sign Language (ASL); English		US		David R. Bowen								
Secret Life of Words		Secret Life of Words	La vida secreta de las palabras						2005		2005																			Sign on Screen										Drama in which deaf factory worker forgoes holiday to take care of temporarily blinded burn victim								deaf and blind character pairing; disability; drama	Feature					English; Danish		Ireland; Spain		Isabel Coixet								
Secuestro	Secuestro								2016	August 19, 2016																				DMDb									Víctor, a young deaf boy who uses sign language, is found wandering alone by a country road. His mother, Patricia, a prominent lawyer known for media trials, rushes to the hospital after learning of his discovery. Víctor reveals to police that he was kidnapped at school by a strange man. Suspicion falls on Charlie, a man with financial troubles and a pregnant wife, who cannot account for his whereabouts during the abduction. Frustrated by the police’s inaction, Patricia turns to Raúl, Víctor’s father and her former lover, setting off a series of events with uncontrollable consequences.			Marc Domenech					Movies with Deaf Actors | Leading Roles; Movies			Drama; Crime; Mystery	01 hours 45 minutes		Spanish Sign Language; Spanish		Spain						https://deafmovie.org/title/secuestro/				tt4621630	Q52161706
See for Yourself	See for Yourself	See for Yourself							2019	November 2, 2019	2019																			DMDb; Sign on Screen									A rural house party spirals into a nightmare for a profoundly Deaf teenager, when her cochlear implant emits an excruciating noise in her head.	Horror short in which a teen's cochlear implant starts emitting terrible noise during party		Bronek Lemów					Shorts with Deaf Actors | Leading Roles; Shorts	character survives dangerous sound thanks to deafness; cochlear implant; horror	Short	Short			English; Australian Sign Language	Australian Sign Language (Auslan); English		Australia		Kylie Aoibheann		Free Short	https://deafmovie.org/title/see-for-yourself/					
See Hear Love	See Hear Love	See Hear Love							2023	June 9, 2023	2023																			DMDb; Sign on Screen									Shinji Izumoto, a manga artist, decides to end his life because he is losing his vision. When Hibiki Aida, a fan of his who is deaf, saves him, they embark on a life-changing relationship.	A manga artist is suicidal because he's going blind, but finds solace in a relationship with a deaf fan							Movies with No Deaf Actors | Leading Roles; Movies	deaf and blind character pairing; deaf-hearing relationship; hearing actor in deaf role; deaf character inspires hearing character's self-actualisation; romance	Feature	Drama; Romance	02 hours 12 minutes		Japanese Sign Language; Japanese	Japanese	Japan	Japan	1-10% Sign Language Usage	John H. Lee			https://deafmovie.org/title/see-hear-love/					
See No Evil, Hear No Evil	See No Evil, Hear No Evil	See No Evil, Hear No Evil					See No Evil Hear No Evil		1989	May 12, 1989	1989				1989		tt0098282							tt0098282	https://www.imdb.com/title/tt0098282/?ref_=ls_t_8					DMDb; Sign on Screen; IMDb Deaf Characters								Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening.	Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening.	1 deaf 1 blind'-trope comedy about deaf man and blind man who each witness a murder							Movies with No Deaf Actors | Leading Roles; Movies	comedy; deaf and blind character pairing; disability	Feature	Comedy; Crime	01 hours 43 minutes		English	English	USA	US		Arthur Hiller			https://deafmovie.org/title/see-no-evil-hear-no-evil/					
See Spot Run		See Spot Run							2001		2001																			Sign on Screen										Children's dog story includes two deaf side characters and scenes in American Sign Language (ASL)								deaf child; friendship	Children's feature					American Sign Language (ASL); English		Australia; Canada; US		John Whitesell								
