English Title	Original Title	Director/Creator	Year	Format	Languages	Countries	Platforms	Summary	Tags	IMDb Tag Number
The Unconquered/Helen Keller in Her Story	 	Nancy Hamilton	1954	Documentary	American Sign Language (ASL); English	US		Documentary about Helen Keller	deafblind documentary; hearing teacher; Helen Keller; learning sign	
Underdog Knight	Ying Han	Sheng Ding	2008	Feature	Mandarin	China; Hong Kong		Kung fu action film in which hero's turns to vigilantism with his only friend, who is deaf	action; friendship; revenge/vigilante	
Une fille et des fusils		Claude Lelouch	1965	Feature	French	France		Comedy in which four hearing young men and one deaf young woman quit their jobs to become thieves	comedy; crime/mystery; deaf villain/suspect; deaf-hearing relationship; friendship	
Universal Signs 		Ann Calamia	2008	Feature	American Sign Language (ASL)	US		A deaf artist spirals into mental illness after fiancée's daughter dies in his care	deaf artist; all/most dialogue in sign language; grief	
Up		Pete Docter	2009	Children's feature	English	US		In this children's adventure film, Carl uses hearing aids and turns them off when ignoring Russell	ageing deaf character as comic relief; Deaf Gain; friendship; hearing aid	
	Upp med händerna		1974	Children's series	Swedish; Swedish Sign Language (TSP)	Sweden		Swedish children's series with adventure stories in sign language		
	Ursula oder das unwerte Leben	Walter Marti; Reni Mertens	1966	Documentary	Swiss German	Switzerland		Documentary about a young deaf girl and her fellow students; includes scenes in which deaf children study piano vibrations	deaf child; school/university setting	
	V talom snege zvon ruchya	Davlat Khoudonazarov	1982	Feature		Tajikistan; USSR		Quiet drama about a widowed deaf shepherd who returns annually to the Bolshoi Theatre square to remember his wife, his deaf son and WWI	deaf child hearing parent; drama; family drama; grief	
The Vanishing Point	Ce que mes yeux ont vu	Laurent de Bartillat	2007	Feature	French; French Sign Language (LSF)	France		Young art history student teams up with signing mime to solve mysteries about artist Watteau	deaf artist; friendship	
The Vanguard		Matthew Hope	2008	Feature	English	UK		Post-apocalyptic horror in which only the deaf protagonists have survived a mass extinction	apocalypse; character survives dangerous sound thanks to deafness; horror; survival narrative	
The Velocity of Gary		Dan Ireland	1999	Feature	English	US		Gay romance tragedy includes deaf drag queen character who mimes to Patsy Cline	deaf artist; music; queer; romance	
	Vent de galerne	Bernard Favre	1989	Feature	French; French Sign Language (LSF)	France		Drama about the French Revolution opens on a hearing servant signing with a deaf clockmaker; they are suspected of being spies.	deaf villain/suspect	
Violent Midnight		Richard Hilliard	1963	Feature	English	US		Axe murderer thriller includes deaf chauffeur side character as potential suspect	crime/mystery; deaf servant; deaf villain/suspect; horror	
Vision On			1965-76	Children's series	British Sign Language (BSL)	UK		Children's and family art and variety show aimed at deaf viewers	Deaf Culture; all/most dialogue in sign language	
The Voiceless Message		William V. Ranous	1911	Short	American Sign Language (ASL); English	US		Silent short in which aggrieved hearing couple adopt deaf girl and learn sign language	adoption/foster care; deaf child; deaf child hearing parent; grief; learning sign	
Voices		Robert Markovitz	1979	Feature	English	US		A signing deaf teacher of deaf children dreams of being a dancer; film was famously protested by San Francisco Deaf community for casting hearing actor in deaf role	deaf child; deaf musician/dancer; hearing actor in deaf role; school/university setting	
Voices from the Shadow Realm		Ian Toynton	2002	Short	English	Canada; US		A deaf court sketch artist (Terrylene Sacchetti) begins to hear murderer's thoughts	crime/mystery; deaf actor; deaf artist; deaf victim/witness	
Voices in a Deaf Theater		Rita Corey; Margo Meisel	1996	Documentary	American Sign Language (ASL); English	US		Documentary short about a deaf theatre	deaf artist; Deaf Culture; sign language poetry/song	
Voices From El-Sayed	Shablul Bamidbar	Oded Adomi Leshem	2008	Documentary	Al-Sayyid Bedouin Sign Language (ABSL); Arabic; English	Israel		Film about the Bedouin village with largest deaf population in world, where no hearing aids are used	Deaf Culture	
The Voyage of the Mimi		Richard Hendrick; D'Arcy Marsh	1984	Documentary	American Sign Language (ASL); English	US		Ben Affleck documentary about sea journey taking whale census, includes interview with deaf Gallaudet scientist	deaf scientist/medical professional	
	W kregu ciszy	Jerzy Ziarnik	1961	Documentary	Polish; Polish Sign Language (PJM)	Poland		Polish documentary short about deaf pantomime actors	Deaf Culture; deaf artist; sign language poetry/song	
Walk East on Beacon!		Alfred L. Werker	1952	Feature	English; Russian	US		Film noir about search for communist sleeper cells includes deaf side character	crime/mystery	
Walkabout		Nicolas Roeg	1971	Feature	Czech; English; French; Yolŋu; Yolŋu Sign Language (YSL)	Australia; UK		Outback drama includes two young boys struggling to communicate, even through sign	drama; isolation; learning sign	
Walker		Alex Cox	1987	Feature	American Sign Language (ASL); English	Spain; US		Satirical history of soldier fleeing to Mexico, signs with deaf wife (Marlee Matlin)	deaf actor; deaf-hearing relationship	
Wanted: Dead or Alive		R.G. Springsteen	1959	Series	English	US		Season 1 episode 21 ("Reunion for a Revenge") is about prison escapees, one of whom has a deaf sister (series duration 1958-61)	sibling relationship	
Washoe, le singe qui parle avec les mains		Philippe Calderon	1994	Documentary	American Sign Language (ASL); English	France		Documentary about the Gardner family who raised the chimpanzee Washoe and 'taught' him American Sign Language (ASL) in the 1960s	signing animal	
We're No Angels		Neil Jordan	1989	Feature	American Sign Language (ASL); Croatian; English; Farsi; French; Latin	US		Crass comedy in which two criminals try to escape over the US-Canada border by posing as priests in a miracle procession; a young deaf girl is somehow 'cured' of her deafness and begins to speak instead of sign during the procession	deaf child; deaf child hearing parent; deafness 'cured'; 'hearing saviour'; religion	
Wedding of Silence	Svadba tishiny	Pavel Medvedev	2004	Documentary	Russian; Russian Sign Language (RSL)	Russia		Russian documentary about Deaf community wedding	Deaf Culture	
Weeds		Jenji Kohan	2005-12	Series	American Sign Language (ASL); English; Spanish	US		Weed dealing comedy series includes recurring deaf character, girlfriend of main character's son	comedy; deaf-hearing relationship; drama	
Weekend of Fear		Joe Danford	1966	Feature	English	US		Woman hires her deaf gardener to commit a murder	crime/mystery; deaf villain/suspect; thriller	
Welcome 2 My Deaf World		Helen Gaynor	2005	Feature	Australian Sign Language (Auslan); English	Australia		Story about two Australian teens and their experience of deafness	deaf child; Deaf Culture; school/university setting	
The West Wing		Aaron Sorkin	1999-2006	Series	American Sign Language (ASL); English	US		Marlee Matlin has recurring role in 17 episodes of this White House drama across series duration from 2000-2006	crime/mystery; deaf actor; deaf lawyer; drama	
What Are You... Deaf?		Stephan Rothman; Cassandra Jones	2006	Documentary	American Sign Language (ASL); English	US		Documentary about CJ Jones's experience of being deaf and black in the US	accessibility; deaf artist; deaf actor	
What the Bleep Do We Know?!		William Arntz; Betsy Chasse; Mark Vicente	2004	Feature	English; German; Spanish	US		Pseudo-scientific film about quantum physics and consciousness, features deaf photographer played by Marlee Matlin	deaf actor; deaf artist; sci-fi/fantasy	
What the Bleep!?: Down the Rabbit Hole		William Arntz; Betsy Chasse; Mark Vicente	2006	Documentary	English	US		Science docudrama includes deaf photographer	deaf artist; sci-fi/fantasy	
What the Deaf Man Heard		Robert D Lenski	1997	Feature	English	US		Hallmark movie in which main character pretends to be deaf	hearing person pretending to be deaf	
What's the Worst that Could Happen?		Sam Weisman	2001	Feature	American Sign Language (ASL); English	US	Prime	Comedy heist film, includes a court scene with American Sign Language (ASL) interpreter interpreting obscene messages	action; comedy	
When Justice Fails		Allan A. Goldstein	1999	Feature	American Sign Language (ASL); English	US		Crime thriller in which lawyer (Marlee Matlin) becomes prime suspect in murder detective is investigating	crime/mystery; deaf actor; deaf lawyer; deaf villain/suspect; thriller	
When Silence Speaks		Dave Eoute	1994	Feature	English	US		Religious video about deaf man seeking "meaning of the cross"	religion	
When the Whales Came		Clive Rees	1989	Feature	English	UK		Children on a gloomy island try to find out the secrets of their home, but the only person who remembers is an old deaf man	crime/mystery	
Where the Truth Lies		Nelson McCormick	1999	Feature	English	US		Hearing lawyer defends a deaf political campaign manager on trial for murder	crime/mystery; deaf villain/suspect; hearing lawyer of deaf defendant	
White Sound		Sarah Tracton	2007	Short	Australian Sign Language (Auslan); English	Australia		Exploration of deaf sensory observance, such as lipreading and vibrations, from late-deafened director	adapting to deafness; accessibility; deaf director; Deaf Gain; lipreading, inc. magical; vibrations	
Who's Minding the Mint?		Howard Morris	1967	Feature	English	US		Comedy drama caper set in a mint, includes deaf worker character who uses hearing aid	comedy; drama; hearing aid	
The Wild Child	L'Enfant sauvage	François Truffaut	1970	Feature	French; French Sign Language (LSF)	France		Truffaut drama in which hearing but nonverbal child is found in French forest in 1798, doctor becomes obsessed with studying him	deaf child; deaf director; learning sign; medical drama; nonverbal; wild child	
The Wild and the Free		James Hill	1980	Feature	American Sign Language (ASL); English	US		Adventure comedy about two scientists studying chimpanzees, one focused on keeping them 'wild', the other on teaching them sign, both on protecting them from radiation research 	comedy; learning sign; signing animal	
Wildflower		Diane Keaton	1991	Feature	English	US		Coming-of-age drama in which teens befriend a partially deaf girl	deaf-hearing relationship; drama; friendship; hearing actor in deaf role	
Windtalkers		John Woo	2002	Feature	English	US		Nicolas Cage war action movie, includes a side character who's a soldier deafened in one ear	action; deafened soldier	
Words of Silence	Logia tis siopis	Lucia Rikakis	2002	Documentary	Greek; Greek Sign Language (ENG)	Greece		Documentary about deaf life in Greece	Deaf Culture	
